"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
60,0.733234,0.313234,39,42,2830,36,42,2752,0.0127208,0,0,0,1
61,0.705739,0.273414,36,43,2830,34,43,2753,0.0120141,0.00232438,0.00555556,1,0.999579
62,0.735944,0.335944,41,40,2830,41,40,2749,0.0144876,0,0,0,1
63,0.780078,0.280078,43,50,2830,38,50,2742,0.0134276,0,0,0,1
64,0.736697,0.296697,37,44,2830,32,44,2754,0.0113074,0,0,0,1
65,0.75152,0.30152,36,45,2830,34,45,2751,0.0120141,0,0,0,1
66,0.867815,0.337815,36,53,2830,29,53,2748,0.0102473,0,0,0,1
67,0.729842,0.309842,38,42,2830,35,42,2753,0.0123675,0,0,0,1
68,0.795673,0.325673,34,47,2830,28,47,2755,0.00989399,0,0,0,1
69,0.755771,0.325771,40,43,2830,37,43,2750,0.0130742,0,0,0,1
70,0.756661,0.328526,41,42,2830,39,42,2749,0.0137809,0.00813533,0.0194444,1,0.998525
71,0.804064,0.354064,38,45,2830,35,45,2750,0.0123675,0,0,0,1
72,0.702786,0.302786,39,40,2830,39,40,2751,0.0137809,0,0,0,1
73,0.730275,0.310275,39,42,2830,36,42,2752,0.0127208,0,0,0,1
74,0.773615,0.263615,40,51,2830,36,51,2743,0.0127208,0,0,0,1
75,0.707921,0.357921,40,35,2830,41,35,2754,0.0144876,0,0,0,1
76,0.745993,0.365993,38,38,2830,38,38,2754,0.0134276,0,0,0,1
77,0.834203,0.346068,41,48,2830,37,48,2745,0.0130742,0.00813533,0.0194444,1,0.998525
78,0.910835,0.410835,43,50,2830,40,50,2740,0.0141343,0,0,0,1
79,0.708626,0.318626,38,39,2830,37,39,2754,0.0130742,0,0,0,1
80,0.762167,0.314032,38,44,2830,34,44,2752,0.0120141,0.00813533,0.0194444,1,0.998525
81,0.778688,0.308688,41,47,2830,40,47,2743,0.0141343,0,0,0,1
82,0.690324,0.290324,37,40,2830,34,40,2756,0.0120141,0,0,0,1
83,0.835473,0.365473,38,47,2830,35,47,2748,0.0123675,0,0,0,1
84,0.755329,0.325329,41,43,2830,40,43,2747,0.0141343,0,0,0,1
85,0.781359,0.341359,33,44,2830,30,44,2756,0.0106007,0,0,0,1
86,0.822011,0.282011,39,54,2830,34,54,2742,0.0120141,0,0,0,1
87,0.727642,0.257642,38,47,2830,36,47,2747,0.0127208,0,0,0,1
88,0.799513,0.349513,40,45,2830,37,45,2748,0.0130742,0,0,0,1
89,0.778578,0.378578,39,40,2830,38,40,2752,0.0134276,0,0,0,1
90,0.750266,0.270266,39,48,2830,34,48,2748,0.0120141,0,0,0,1
91,0.75036,0.37036,40,38,2830,41,38,2751,0.0144876,0,0,0,1
92,0.742103,0.332103,39,41,2830,36,41,2753,0.0127208,0,0,0,1
93,0.745567,0.345567,37,40,2830,34,40,2756,0.0120141,0,0,0,1
94,0.857513,0.357513,33,50,2830,26,50,2754,0.00918728,0,0,0,1
95,0.769682,0.339682,43,43,2830,43,43,2744,0.0151943,0,0,0,1
96,0.730739,0.370739,39,36,2830,39,36,2755,0.0137809,0,0,0,1
97,0.736024,0.256024,40,48,2830,35,48,2747,0.0123675,0,0,0,1
98,0.690324,0.290324,37,40,2830,34,40,2756,0.0120141,0,0,0,1
99,0.75137,0.28137,34,47,2830,28,47,2755,0.00989399,0,0,0,1
100,0.750951,0.400951,40,35,2830,41,35,2754,0.0144876,0,0,0,1
101,0.726812,0.276812,40,45,2830,37,45,2748,0.0130742,0,0,0,1
102,0.724829,0.304829,39,42,2830,37,42,2751,0.0130742,0,0,0,1
103,0.752213,0.392213,37,36,2830,38,36,2756,0.0134276,0,0,0,1
104,0.802255,0.332255,42,47,2830,41,47,2742,0.0144876,0,0,0,1
105,0.796352,0.366352,36,43,2830,35,43,2752,0.0123675,0,0,0,1
106,0.824453,0.344453,40,48,2830,36,48,2746,0.0127208,0,0,0,1
107,0.756808,0.296808,31,46,2830,26,46,2758,0.00918728,0,0,0,1
108,0.812492,0.362492,43,45,2830,42,45,2743,0.014841,0,0,0,1
109,0.74341,0.34341,39,40,2830,37,40,2753,0.0130742,0,0,0,1
110,0.760614,0.380614,38,38,2830,37,38,2755,0.0130742,0,0,0,1
