,effort,latitude,longitude,geometry,labels
338,7.512345357258111e-09,9360500.0,521000.0,POINT (521000 9360500),339
339,6.312502968397461e-08,9360500.0,521500.0,POINT (521500 9360500),340
340,2.0864209859071074e-09,9360500.0,522000.0,POINT (522000 9360500),341
341,1.2668862926756956e-09,9360500.0,522500.0,POINT (522500 9360500),342
342,8.014323146459917e-08,9360500.0,523000.0,POINT (523000 9360500),343
343,3.464302692099561e-08,9360500.0,523500.0,POINT (523500 9360500),344
344,1.578912336525039e-08,9360500.0,525000.0,POINT (525000 9360500),345
345,3.821811096064543e-08,9360500.0,525500.0,POINT (525500 9360500),346
346,1.1173250973083512e-08,9360500.0,526000.0,POINT (526000 9360500),347
347,1.0683611720731489e-07,9360500.0,526500.0,POINT (526500 9360500),348
348,9.27747597124357e-08,9360500.0,527000.0,POINT (527000 9360500),349
349,4.809767127915734e-08,9360500.0,527500.0,POINT (527500 9360500),350
350,2.418282680063355e-08,9360500.0,528000.0,POINT (528000 9360500),351
351,5.027487753301589e-08,9360500.0,528500.0,POINT (528500 9360500),352
352,4.7033632408331864e-08,9360500.0,529000.0,POINT (529000 9360500),353
353,6.955009615153611e-08,9360500.0,529500.0,POINT (529500 9360500),354
354,4.928431595493918e-08,9360500.0,530000.0,POINT (530000 9360500),355
355,4.847387201233134e-08,9360500.0,530500.0,POINT (530500 9360500),356
356,4.7993416127534255e-08,9360500.0,531000.0,POINT (531000 9360500),357
357,4.537783885422746e-08,9360500.0,531500.0,POINT (531500 9360500),358
358,4.928679626996001e-08,9360500.0,532000.0,POINT (532000 9360500),359
359,2.2435758222943008e-08,9360000.0,514000.0,POINT (514000 9360000),360
360,1.589164947878228e-08,9360000.0,514500.0,POINT (514500 9360000),361
361,1.5861077423742198e-08,9360000.0,515000.0,POINT (515000 9360000),362
362,1.583050536870212e-08,9360000.0,515500.0,POINT (515500 9360000),363
363,2.209569739002283e-08,9360000.0,516000.0,POINT (516000 9360000),364
364,2.5421881429987404e-08,9360000.0,516500.0,POINT (516500 9360000),365
